Category,Sub Category,Sub Sub Category,Information Required From Client ,Question,Sample Answer
Transportation,FAQs,Transportation,"Date and Time,Preferences",Are there any guided tours or transportation services for local attractions?,"Yes, we offer guided tours and transportation services for local attractions. Our concierge team can provide information on available tours and help you book transportation for a hassle-free experience."
Transportation,Requests,Transportation,"Date and Time,Preferences",Can you arrange transportation for day trips outside the city?,Certainly! We offer transportation arrangements for day trips outside the city. Our concierge can assist you in organizing transportation tailored to your specific needs and preferences.
Services,FAQs,Services,NA,What time does room service start and end?,Room service typically starts at 6:00 AM and ends at 11:00 PM.
Services,FAQs,Kitchen,NA,Can I see a menu for room service?,"Certainly! Our room service menu offers a wide range of delicious options for you to enjoy in the comfort of your room. Unfortunately, I'm unable to display the menu directly here, but you can find it in your room's information booklet "
Services,Confirmations,Kitchen,NA,Are there vegetarian options available for room service?,"Yes, we offer a variety of vegetarian options for room service."
Services,FAQs,Kitchen,NA,Do you offer gluten-free options for room service?,"Absolutely, we provide gluten-free options for room service upon request."
Services,Confirmations,Services,NA,Is there an extra charge for room service?,"Yes, there's a small additional charge for room service orders."
Services,FAQs,Services,Na,How long does room service typically take to arrive?,Room service usually arrives within 30-45 minutes of placing your order.
Services,FAQs,Kitchen,NA,Can I order alcohol through room service?,"Yes, alcohol can typically be ordered through room service, subject to the hotel's policies and local regulations. "
Services,FAQs,Services,Booking details,Do you have any specials or promotions for room service?,We have ongoing specials and promotions for room service; feel free to inquire about the current offerings.
Services,FAQs,Kitchen,Na,Can I order breakfast through room service?,"Yes, you can order breakfast through room service at any time during the breakfast hours."
Services,FAQs,Services,NA,Are there any late-night options available for room service?,"Yes, we offer late-night options for room service until our closing time."
Amenities,Confirmations,House Keeping,NA,Can I order extra towels or amenities through room service?,"Certainly, you can order extra towels or amenities through room service."
Services,FAQs,Kitchen,NA,Is there a minimum order requirement for room service?,There is no minimum order requirement for room service.
Services,FAQs,Kitchen,NA,Are there any kids' meal options available for room service?,"Yes, we have kids' meal options available for room service."
Policies,Confirmations,Kitchen,NA,Can I order food from outside the hotel through room service?,"Unfortunately, we only provide food from our hotel's restaurant for room service."
Services,FAQs,Kitchen,NA,Are there healthy meal options available for room service?,"Yes, we offer healthy meal options for room service."
Services,FAQs,Kitchen,NA,Can I order desserts or snacks through room service?,"Of course, you can order desserts or snacks through room service."
Services,Confirmations,Services,NA,Do you offer 24-hour room service?,"Yes, we offer 24-hour room service for our guests."
Services,FAQs,Services,NA,Can I request specific dietary requirements for room service?,"Absolutely, we can accommodate specific dietary requirements for room service."
Services,Confirmations,Services,NA,Is there a service charge added to room service orders?,"Yes, a small service charge is added to room service orders."
Services,FAQs,Kitchen,NA,Can I order room service to the poolside or other areas of the hotel?,"Yes, you can order room service to the poolside or any other designated areas of the hotel."
Amenities,FAQs,Fitness,Na,What are the Fitness Center's opening hours?,Fitness Center hours are 6 am to 10 pm daily.
Amenities,FAQs,Fitness,Na,Is there a fee to use the Fitness Center?,"Yes, there's a nominal fee for having access to Fitness Center."
Amenities,FAQs,Fitness,NA,Are towels provided in the Fitness Center?,Towels are provided for guests using the Fitness Center.
Amenities,FAQs,Fitness,date and time,Do you offer personal training sessions?,"Yes, we offer personal training sessions upon request."
Amenities,FAQs,Fitness,NA,Are there any age restrictions for using the Fitness Center?,The Fitness Center is available to guests aged 18 and above.
Amenities,Confirmations,Fitness,NA,Can I access the Fitness Center 24/7?,Access to the Fitness Center is available (timing) for hotel guests.
Amenities,FAQs,Fitness,NA,Are there cardio machines available in the Fitness Center?,"Yes, there are various cardio machines available."
Amenities,FAQs,Fitness,NA,Do you have free weights in the Fitness Center?,Free weights are available in the Fitness Center.
Amenities,Confirmations,Fitness,NA,Is there a sauna or steam room in the Fitness Center?,"Yes, we have both a sauna and steam room."
Amenities,Confirmations,Policies,NA,Are fitness classes offered in the Fitness Center?,"Yes, we offer a variety of fitness classes in the Fitness Center."
Policies,FAQs,Policies,NA,Can I smoke in my room?,"I'm sorry, but smoking is not permitted in our rooms. However, designated smoking areas are available outside the hotel premises for guests who wish to smoke. "
Policies,FAQs,Policies,NA,Is smoking allowed in any areas of the hotel?,Designated smoking areas are available in [specific locations].
Policies,FAQs,Policies,NA,What are the penalties for smoking in non-smoking areas?,Penalties for smoking in non-smoking areas may include fines or charges for cleaning fees.
Amenities,Confirmations,Policies,NA,Are there any rooms specifically designated for smokers?,"No, we do not have rooms specifically designated for smokers. Our hotel has a no smoking policy"
Policies,FAQs,Policies,NA,Is there a smoking fee if I smoke in a non-smoking room?,"Yes, there is a smoking fee for smoking in a non-smoking room."
Policies,Confirmations,Policies,Na,Can I smoke on the balcony or terrace of my room?,Smoking is allowed only on the balcony or terrace of your room.
Policies,FAQs,Policies,NA,Are electronic cigarettes allowed in the hotel?,"No, electronic cigarettes are not allowed in the hotel. For health, safety, and cleanliness reasons, we do not permit the use of electronic cigarettes on our premises."
Policies,Requests,Policies,NA,What is the hotel's policy on smoking marijuana or other substances?,The hotel strictly prohibits smoking marijuana or other substances on the premises.
Policies,FAQs,Policies,NA,Are there any outdoor areas where smoking is prohibited?,"Yes, smoking is prohibited in all indoor and outdoor areas except for designated smoking areas."
Amenities,FAQs,Services,NA,What spa services do you offer?,"We offer massages, facials, body treatments, and more."
Amenities,FAQs,Services,NA,How much does a massage session cost?,Massage sessions start at (rate) for (no) minutes.
Amenities,FAQs,Services,NA,Do you provide facials as part of your spa services?,"Yes, we provide a variety of facials tailored to your skin's needs."
Amenities,FAQs,Services,Time frame,Are there any discounts available for spa packages?,"Yes, we offer discounts on select spa packages."
Amenities,Confirmations,Services,Na,Can I book a spa appointment for tomorrow morning?,"Yes, you can book a spa appointment for tomorrow morning, subject to availability."
Amenities,FAQs,Services,NA,Do you offer couples massages?,"Yes, we offer couples massages for a romantic experience."
Amenities,FAQs,Services,Na,What type of massages do your therapists specialize in?,"Our therapists specialize in Swedish, deep tissue, hot stone, and aromatherapy massages."
Amenities,FAQs,Services,NA,Are there any additional amenities included with spa services?,"Additional amenities include access to our sauna, steam room, and relaxation areas."
Amenities,FAQs,Services,NA,How far in advance do I need to book a spa appointment?,We recommend booking your spa appointment at least 8 hours in advance.
Reservations,Room Booking,Room Booking,Time frame,I want to book a room for [date],"Sure, we have some rooms available. Would you like to confirm the booking?"
